round,arm,params,tau,rc,rescued,n,p5_rescue_rate,jerk,collected,mean_inject,crep_mean_S,crep_mean_pool
1,aty,aty,0.5,0,14,43,0.326,0.3814,33,1.055,,
1,crep,tau0.5,0.5,0,18,43,0.419,0.3796,35,0.9576,3.542,5.5
2,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
2,crep,"tau0.5,adapt",0.5,0,21,43,0.488,0.3654,42,0.9426,3.28,5.6
===SQUARE===
round,arm,params,tau,rc,rescued,n,p5_rescue_rate,jerk,collected,mean_inject,crep_mean_S,crep_mean_pool
1,aty,aty,0.5,0,9,32,0.281,0.2864,19,0.4448,,
1,crep,tau0.5,0.5,124,NOJSON,NOJSON,NOJSON,NOJSON,,0.5383,0.4431,5.7
2,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
2,crep,tau0.5,0.5,0,4,16,0.25,0.2258,7,0.2979,0.3063,6.0
3,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
3,crep,tau0.5,0.5,0,5,16,0.312,0.2773,13,0.4736,0.9027,6.0
4,aty,aty,0.5,0,14,31,0.452,0.2791,28,0.4972,,
4,crep,tau0.5,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
5,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
5,crep,"tau0.5,adapt",0.5,124,NOJSON,NOJSON,NOJSON,NOJSON,,0.6556,1.822,5.7
6,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
6,crep,"tau0.5,adapt",0.5,0,3,16,0.188,0.2201,4,0.3275,0.2338,6.0
7,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
7,crep,"tau0.5,adapt",0.5,0,4,16,0.25,0.258,10,0.4039,0.6995,6.0
9,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
9,crep,"tau0.5,adapt",0.5,0,4,15,0.267,0.285,9,0.7124,2.28,6.0
8,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
8,crep,"tau0.5,adapt",0.5,0,5,16,0.312,0.2211,7,0.4886,2.715,6.0
11,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
11,crep,"tau0.5,adapt,add",0.5,0,5,16,0.312,0.2803,10,0.5164,4.119,6.0
10,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
10,crep,"tau0.5,adapt,add",0.5,0,5,16,0.312,0.2498,10,0.5328,2.138,6.0
13,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
13,crep,"tau0.5,adapt,add",0.5,0,2,15,0.133,0.2926,6,0.5018,5.886,6.0
12,aty,aty,0.5,?,NOJSON,NOJSON,NOJSON,NOJSON,,,,
12,crep,"tau0.5,adapt,add",0.5,0,8,16,0.5,0.2529,18,0.5316,8.675,6.0
